Data Till,Scheme,Component,TrainingType,TCState,TCDistrict,Enrolled,Trained,Assessed,Certified,Reported Placed
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Kurnool,8922,8141,7868,7315,3216
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Kurnool,4651,4275,3964,3430,1874
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Prakasam,2962,2630,2401,1959,1269
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Prakasam,16329,15244,14338,12932,9168
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Spsr Nellore,2238,1933,1795,1687,1399
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Spsr Nellore,8573,6657,6509,5952,3756
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Srikakulam,5433,4880,4768,4343,3400
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Srikakulam,2242,2134,1989,1778,1204
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Visakhapatanam,16303,15829,15535,14556,10461
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Visakhapatanam,7349,6953,6429,5759,3212
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Vizianagaram,3911,3802,3680,3218,1935
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Vizianagaram,5799,5369,5289,4962,3667
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,West Godavari,3882,3516,3312,2955,2406
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,West Godavari,1860,1455,1260,944,591
21-04-2022,PMKVY 2.0,CSSM,STT,Andhra Pradesh,Y.S.R,885,735,601,475,165
21-04-2022,PMKVY 2.0,CSCM,STT,Andhra Pradesh,Y.S.R,5354,5086,4682,4266,2287
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Anantapur,180,180,141,124,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Anantapur,62,62,16,10,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Chittoor,175,175,141,118,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Chittoor,93,93,63,59,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,East Godavari,291,291,219,177,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,East Godavari,200,200,186,163,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Guntur,200,200,194,179,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Guntur,815,815,728,714,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Krishna,100,100,88,83,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Krishna,254,254,228,191,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Kurnool,199,199,124,92,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Kurnool,132,132,107,102,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Prakasam,200,200,141,129,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Prakasam,105,105,95,90,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Spsr Nellore,200,200,148,137,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Spsr Nellore,994,994,919,842,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Srikakulam,200,200,187,149,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Srikakulam,363,363,330,301,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Visakhapatanam,200,200,37,35,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Visakhapatanam,275,275,63,52,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Vizianagaram,207,207,187,163,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Vizianagaram,175,175,113,100,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,West Godavari,4,4,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,West Godavari,200,200,200,177,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Andhra Pradesh,Y.S.R,100,100,69,42,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Andhra Pradesh,Y.S.R,88,88,75,65,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Chittoor,140,120,91,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,East Godavari,260,260,240,131,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Guntur,40,40,34,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Andhra Pradesh,Guntur,60,60,40,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Krishna,320,300,300,147,0
21-04-2022,PMKVY 3.0,CSSM,SP,Andhra Pradesh,Krishna,20,20,20,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Kurnool,107,107,99,59,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Prakasam,27,27,27,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Andhra Pradesh,Prakasam,40,40,35,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Spsr Nellore,80,40,34,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Andhra Pradesh,Spsr Nellore,20,20,17,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Srikakulam,34,34,34,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Andhra Pradesh,Visakhapatanam,40,40,36,20,0
21-04-2022,PMKVY 3.0,CSCM,SP,Andhra Pradesh,Visakhapatanam,60,54,52,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Andhra Pradesh,Y.S.R,160,160,111,0,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Anantapur,724,175,141,105,42
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Anantapur,210,210,190,158,110
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Chittoor,180,180,126,114,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Chittoor,752,273,210,193,56
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,East Godavari,1398,540,368,259,189
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,East Godavari,210,210,149,130,41
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Guntur,1096,670,389,320,36
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Guntur,193,150,124,48,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Krishna,780,619,452,382,75
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Krishna,420,240,158,139,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Kurnool,690,235,211,193,0
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Kurnool,238,208,172,165,0
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Prakasam,240,180,144,134,0
